bp	normalized
37	0.0030707478966316994
172	0.014356641015439257
143	0.012330299178060923
149	0.012685106114566856
142	0.01029455647313414
65	0.003005851585168221
125	0.004041766538248794
110	0.0017713053984027016
74	0.0025819027841124127
48	0.004291647662762375
100	0.0018343821871148677
166	0.028830944502130054
64	0.0033139574377238014
119	0.0017003440111015148
41	0.003993245931547128
159	0.01742314335898456
158	0.016617094780153132
133	0.004226448097507011
44	0.0034006880222030296
104	0.002101852031557803
89	0.001650610389232307
55	0.0049439465691079
36	0.003085000824850314
161	0.02024522314627022
101	0.0019311201467263146
160	0.01846724616444604
93	0.002313219924501936
175	0.011345330862017099
187	0.0018140641830585449
35	0.0031326116701763237
52	0.005899196013546953
92	0.0019954099506060224
145	0.014535864006443536
58	0.004358970004560937
137	0.007986795116886141
61	0.0040287266251977216
163	0.022905062154897186
54	0.005418538753408573
76	0.00215492144513775
112	0.0018995817523702317
56	0.004692549175634892
39	0.00328363205853526
47	0.0038713379072091918
146	0.014103727353006822
95	0.0025424797911673086
106	0.0019896481285601995
43	0.0037418485380741203
107	0.001885328824151617
155	0.016218619297615696
147	0.013282819338373006
75	0.0022916889052780717
97	0.0018331691719473261
46	0.003588705373171986
189	0.0014010325185106114
59	0.004285279333132781
70	0.002585845083406923
176	0.010243913089889275
67	0.0027432338013954525
128	0.0026634780541295888
62	0.0038667891003309105
193	0.0007317513998195033
184	0.0026040403109200477
150	0.01250376034701938
151	0.012685712622150628
82	0.0024417995322613515
117	0.001652126658191734
130	0.0026373982280274433
88	0.0016287761162165572
134	0.005304515327659657
165	0.027444468165629943
73	0.002736258964182088
63	0.0035935574338421526
180	0.005288139622897845
173	0.013031725198691885
38	0.003138676746014032
198	0.0003902876301565275
178	0.007893392948985434
131	0.0029188177468971073
157	0.016499129055109706
68	0.0026719691603023805
135	0.006647626371920155
120	0.0018195227513124823
138	0.0074651985948432295
167	0.028088882473386447
144	0.014279917806092248
40	0.0036696741356053914
118	0.00161998175625188
78	0.0020063270871138973
51	0.005573198187270134
153	0.01418045056235383
49	0.004716809478985725
174	0.011938495278944968
81	0.0022067778435501556
72	0.00265680647070811
99	0.0017725184135702432
84	0.0027377752331415152
66	0.0027893283777620354
69	0.0026031305495443917
168	0.02641188900426011
171	0.017567795417713902
98	0.0017506841405544936
186	0.0019705431396714185
80	0.0021248993197410943
77	0.002018153984997428
127	0.0034203995186755814
162	0.021663844384710185
57	0.004487852866112238
141	0.008479279274908054
60	0.004218866752709876
169	0.023793899018913333
71	0.002552183912507642
94	0.0025227682946947568
177	0.009383582082310358
83	0.0027914511543052334
123	0.0026722724140942657
105	0.0020657648303234384
53	0.005958330502964609
121	0.0019450698211530438
148	0.012970771186522916
111	0.0017904103872914826
113	0.001973878931382158
50	0.005187459363991887
103	0.0021118594066900213
42	0.004093926190453085
109	0.0017667565915244203
90	0.0017397670040466186
164	0.025497882075517474
170	0.020533920756145133
183	0.0029879596114469817
85	0.002285927083232249
79	0.0020227027918757095
154	0.014557395025667401
116	0.0018577327290900446
156	0.016742945103785576
87	0.0016942789352638065
25	1.2130151675416548e-06
140	0.00712798037826665
375	2.4260303350833097e-06
132	0.003615694960649788
45	0.003377337480227853
122	0.0022089006200933536
126	0.003947757862764316
152	0.013230053178584946
207	0.00012676008500810295
139	0.006666124853225165
96	0.0021488563693000417
91	0.0018656173276790653
102	0.002058183485526303
196	0.0005040078021135576
136	0.007913710953041758
115	0.002059093246901959
182	0.003486812099098487
191	0.0009710186416170948
114	0.0020542411862317926
192	0.0008224242835932421
188	0.00159420518394162
331	7.884598589020757e-06
108	0.0018249813195664198
86	0.001921719279177867
206	0.00014738134285631108
252	4.245553086395792e-06
179	0.006408965637706334
217	4.002950052887461e-05
194	0.0006383492319187959
197	0.0004439635513202457
185	0.0021794850022804685
181	0.004146389096449262
190	0.0011926971634853322
446	3.032537918854137e-07
316	8.794359964676999e-06
388	1.2130151675416548e-06
345	5.761822045822861e-06
203	0.000198631233684946
124	0.0034240385641782067
200	0.00029203340158565343
259	3.639045502624965e-06
229	1.3039913051072791e-05
359	3.639045502624965e-06
234	9.704121340333239e-06
32	2.0924511640093548e-05
129	0.0023420290347310503
398	9.097613756562412e-07
419	3.032537918854137e-07
215	4.882386049355161e-05
201	0.00026140476860522663
26	2.7292841269687237e-06
312	1.061388271598948e-05
214	5.488893633125989e-05
212	6.974837213364516e-05
216	4.5184814990926647e-05
204	0.0001852880668419878
34	3.335791710739551e-05
28	5.761822045822861e-06
304	8.491106172791584e-06
296	6.974837213364516e-06
298	7.5813447971353435e-06
249	4.548806878281206e-06
224	2.183427301574979e-05
195	0.0005689041135770362
307	8.491106172791584e-06
264	3.639045502624965e-06
239	6.671583421479102e-06
219	3.2144901939853854e-05
30	1.3343166842958204e-05
202	0.00023229240458422692
243	5.4585682539374474e-06
344	5.4585682539374474e-06
383	1.5162689594270687e-06
289	5.155314462052034e-06
360	3.639045502624965e-06
314	9.704121340333239e-06
410	3.032537918854137e-07
354	4.245553086395792e-06
287	5.155314462052034e-06
240	6.368329629593688e-06
221	2.6383079894030995e-05
211	8.066550864152006e-05
306	8.794359964676999e-06
320	8.187852380906172e-06
309	9.400867548447826e-06
227	1.4859435802385273e-05
341	5.761822045822861e-06
329	9.400867548447826e-06
29	1.0917136507874895e-05
232	1.061388271598948e-05
31	1.455618201049986e-05
209	0.00010219652786538443
404	6.065075837708274e-07
225	1.8801735096895652e-05
313	1.061388271598948e-05
350	4.548806878281206e-06
362	3.0325379188541373e-06
226	1.6072450969926927e-05
343	5.155314462052034e-06
332	7.27809100524993e-06
335	7.27809100524993e-06
199	0.00034328329241428837
369	2.7292841269687237e-06
213	6.338004250405147e-05
378	2.4260303350833097e-06
401	9.097613756562412e-07
248	4.548806878281206e-06
220	3.244815573173927e-05
205	0.00015708546419664432
435	3.032537918854137e-07
235	8.794359964676999e-06
290	5.4585682539374474e-06
417	3.032537918854137e-07
233	1.0917136507874895e-05
330	7.27809100524993e-06
244	5.4585682539374474e-06
277	3.9422992945103786e-06
352	4.548806878281206e-06
381	1.8195227513124825e-06
294	6.671583421479102e-06
222	2.3350541975176857e-05
230	1.213015167541655e-05
257	3.9422992945103786e-06
261	3.335791710739551e-06
337	6.671583421479102e-06
433	3.032537918854137e-07
466	3.032537918854137e-07
272	3.335791710739551e-06
210	9.582819823579074e-05
284	4.548806878281206e-06
301	7.884598589020757e-06
274	4.245553086395792e-06
271	3.639045502624965e-06
269	3.335791710739551e-06
300	8.794359964676999e-06
223	2.3350541975176857e-05
357	3.639045502624965e-06
260	3.639045502624965e-06
373	2.7292841269687237e-06
33	2.517006472648934e-05
393	9.097613756562412e-07
254	4.245553086395792e-06
418	3.032537918854137e-07
336	6.671583421479102e-06
443	3.032537918854137e-07
27	4.245553086395792e-06
256	4.548806878281206e-06
263	3.639045502624965e-06
347	6.065075837708275e-06
438	3.032537918854137e-07
426	3.032537918854137e-07
292	5.4585682539374474e-06
338	7.27809100524993e-06
237	7.27809100524993e-06
253	3.9422992945103786e-06
228	1.455618201049986e-05
288	5.4585682539374474e-06
422	3.032537918854137e-07
251	4.245553086395792e-06
334	6.974837213364516e-06
311	9.704121340333239e-06
267	3.639045502624965e-06
324	8.187852380906172e-06
356	3.335791710739551e-06
382	1.8195227513124825e-06
321	9.400867548447826e-06
379	2.122776543197896e-06
266	3.335791710739551e-06
245	6.065075837708275e-06
250	4.245553086395792e-06
368	3.0325379188541373e-06
236	7.884598589020757e-06
394	9.097613756562412e-07
434	3.032537918854137e-07
208	0.00012190802433793631
315	1.0310628924104068e-05
255	3.9422992945103786e-06
346	4.852060670166619e-06
247	4.548806878281206e-06
363	3.335791710739551e-06
246	5.155314462052034e-06
270	3.0325379188541373e-06
392	9.097613756562412e-07
353	4.852060670166619e-06
387	1.5162689594270687e-06
238	6.974837213364516e-06
258	3.335791710739551e-06
317	8.794359964676999e-06
278	3.335791710739551e-06
231	1.213015167541655e-05
268	3.639045502624965e-06
285	4.548806878281206e-06
283	4.245553086395792e-06
299	7.27809100524993e-06
456	3.032537918854137e-07
308	1.0007375132218653e-05
218	3.5177439858707995e-05
372	2.4260303350833097e-06
406	6.065075837708274e-07
407	6.065075837708274e-07
273	3.9422992945103786e-06
358	3.639045502624965e-06
242	5.4585682539374474e-06
432	3.032537918854137e-07
282	3.9422992945103786e-06
265	3.0325379188541373e-06
327	8.187852380906172e-06
429	3.032537918854137e-07
340	5.155314462052034e-06
439	3.032537918854137e-07
323	8.187852380906172e-06
421	3.032537918854137e-07
322	8.794359964676999e-06
414	3.032537918854137e-07
325	7.27809100524993e-06
385	1.5162689594270687e-06
420	3.032537918854137e-07
279	3.9422992945103786e-06
374	3.0325379188541373e-06
280	3.639045502624965e-06
305	8.491106172791584e-06
302	8.491106172791584e-06
430	3.032537918854137e-07
370	2.7292841269687237e-06
399	9.097613756562412e-07
293	5.761822045822861e-06
431	3.032537918854137e-07
367	3.0325379188541373e-06
241	5.761822045822861e-06
333	6.671583421479102e-06
286	4.852060670166619e-06
310	1.0007375132218653e-05
339	6.974837213364516e-06
342	6.065075837708275e-06
412	3.032537918854137e-07
361	3.335791710739551e-06
328	7.5813447971353435e-06
318	8.794359964676999e-06
405	6.065075837708274e-07
281	4.548806878281206e-06
395	9.097613756562412e-07
295	6.671583421479102e-06
386	1.2130151675416548e-06
351	4.548806878281206e-06
349	4.852060670166619e-06
364	3.639045502624965e-06
276	3.639045502624965e-06
427	3.032537918854137e-07
297	7.884598589020757e-06
415	3.032537918854137e-07
366	2.7292841269687237e-06
355	3.9422992945103786e-06
425	3.032537918854137e-07
448	3.032537918854137e-07
436	3.032537918854137e-07
275	3.9422992945103786e-06
402	6.065075837708274e-07
457	3.032537918854137e-07
376	2.4260303350833097e-06
403	6.065075837708274e-07
389	1.2130151675416548e-06
416	3.032537918854137e-07
348	4.852060670166619e-06
291	5.4585682539374474e-06
365	3.335791710739551e-06
397	9.097613756562412e-07
391	1.2130151675416548e-06
326	7.884598589020757e-06
303	9.704121340333239e-06
380	2.122776543197896e-06
428	3.032537918854137e-07
464	3.032537918854137e-07
437	3.032537918854137e-07
445	3.032537918854137e-07
408	3.032537918854137e-07
384	1.5162689594270687e-06
413	3.032537918854137e-07
319	8.794359964676999e-06
400	6.065075837708274e-07
371	2.4260303350833097e-06
409	6.065075837708274e-07
447	3.032537918854137e-07
262	3.335791710739551e-06
411	3.032537918854137e-07
423	3.032537918854137e-07
390	1.2130151675416548e-06
377	2.122776543197896e-06
396	9.097613756562412e-07
424	3.032537918854137e-07
